fid,nome,geometriaaproximada,geocodigo,anodereferencia
544,Santo Expedito do Sul,Não,"4317954",
545,Timbé do Sul,Não,"4218103",
546,Morpará,Não,"2921609",
547,São Domingos,Não,"2928950",
548,Porto Lucena,Não,"4315008",
549,Cândido Godói,Não,"4304309",
550,Saldanha Marinho,Não,"4316436",
551,Guarulhos,Não,"3518800",
552,Riacho de Santana,Não,"2926400",
553,Monte Alegre de Goiás,Não,"5213509",
554,Nova América da Colina,Não,"4116604",
555,Natividade da Serra,Não,"3532306",
556,Alambari,Não,"3500758",
557,Angatuba,Não,"3502200",
558,Poá,Não,"3539806",
559,Carlópolis,Não,"4104709",
560,Capela do Alto,Não,"3510302",
561,Araçariguama,Não,"3502754",
562,Iaciara,Não,"5209903",
563,Caetité,Não,"2905206",
564,Campinápolis,Não,"5102603",
565,Gaúcha do Norte,Não,"5103858",
566,Ituaçu,Não,"2917201",
567,Nilo Peçanha,Não,"2922607",
568,Nova Roma,Não,"5214903",
569,Santa Rita do Trivelato,Não,"5107768",
570,Nova Maringá,Não,"5108907",
571,Nova Ubiratã,Não,"5106240",
572,Campinorte,Não,"5204706",
573,Dom Basílio,Não,"2910107",
574,Itaporanga d'Ajuda,Não,"2803203",
575,América Dourada,Não,"2901155",
576,Nova Brasilândia D'Oeste,Não,"1100148",
577,Alvorada D'Oeste,Não,"1100346",
578,Retirolândia,Não,"2926103",
579,Rio Real,Não,"2927002",
580,Rolim de Moura,Não,"1100288",
581,Castanheiras,Não,"1100908",
582,Jandaíra,Não,"2917904",
583,Gavião,Não,"2911253",
584,Serrinha,Não,"2930501",
585,Olindina,Não,"2923100",
586,Gurupi,Não,"1709500",
587,Manicoré,Não,"1302702",
588,São Miguel do Guaporé,Não,"1100320",
589,São José do Jacuípe,Não,"2929370",
590,Itapicuru,Não,"2916500",
591,Novo Acordo,Não,"1715101",
592,Presidente Médici,Não,"1100254",
593,Juara,Não,"5105101",
594,Capim Grosso,Não,"2906873",
595,Lagoa da Confusão,Não,"1711902",
596,Natividade,Não,"1714203",
597,Wanderley,Não,"2933455",
598,Mansidão,Não,"2920452",
599,Peixe,Não,"1716604",
600,Cotegipe,Não,"2909406",
601,Morro do Chapéu,Não,"2921708",
602,Miguel Calmon,Não,"2921203",
603,Santa Rita de Cássia,Não,"2928406",
604,Santaluz,Não,"2928000",
605,Barrolândia,Não,"1703107",
606,Piritiba,Não,"2924801",
607,Mairi,Não,"2920106",
608,Quijingue,Não,"2925907",
609,Rondolândia,Não,"5107578",
610,União do Sul,Não,"5108303",
611,Almas,Não,"1700400",
612,Santa Carmem,Não,"5107248",
613,Inhambupe,Não,"2913705",
614,Mundo Novo,Não,"2922102",
615,Brasnorte,Não,"5101902",
616,Alto Boa Vista,Não,"5100359",
617,Gentio do Ouro,Não,"2911303",
618,Xique-Xique,Não,"2933604",
619,Mateiros,Não,"1712702",
620,São Gabriel,Não,"2929255",
621,Queimadas,Não,"2925808",
622,Lagarto,Não,"2803500",
623,Feijó,Não,"1200302",
624,Poço Redondo,Não,"2805406",
625,Paraíso do Tocantins,Não,"1716109",
626,Miracema do Tocantins,Não,"1713205",
627,Morro Cabeça no Tempo,Não,"2206654",
628,Divinópolis do Tocantins,Não,"1707108",
629,Alto Paraíso,Não,"1100403",
630,Buritis,Não,"1100452",
631,São Félix do Tocantins,Não,"1720150",
632,Santana do Araguaia,Não,"1506708",
633,Juazeiro,Não,"2918407",
634,Carlinda,Não,"5102793",
635,Santa Brígida,Não,"2927606",
636,Vila Rica,Não,"5108600",
637,Novo Mundo,Não,"5106265",
638,Jaguarari,Não,"2917706",
639,Santa Cruz do Xingu,Não,"5107743",
640,Riacho Frio,Não,"2208858",
641,Campo Formoso,Não,"2906006",
642,Tocantínia,Não,"1721109",
643,Colniza,Não,"5103254",
644,Pilão Arcado,Não,"2924405",
645,Rio Crespo,Não,"1100262",
646,Pão de Açúcar,Não,"2706406",
647,Lábrea,Não,"1302405",
648,Dois Irmãos do Tocantins,Não,"1707207",
649,Machadinho D'Oeste,Não,"1100130",
650,São Félix do Xingu,Não,"1507300",
651,Sento Sé,Não,"2930204",
652,São José do Ouro,Não,"4318606",
653,Nonoai,Não,"4312708",
654,Ituporanga,Não,"4208500",
655,Trindade do Sul,Não,"4321956",
656,Cacique Doble,Não,"4303202",
657,Jacutinga,Não,"4310900",
658,São Valério do Sul,Não,"4319737",
659,Porto Mauá,Não,"4315057",
660,Marcelino Ramos,Não,"4311908",
661,Rio Branco,Não,"1200401",
662,Paulo Afonso,Não,"2924009",
663,Xapuri,Não,"1200708",
664,Capela,Não,"2801306",
665,Pindobaçu,Não,"2924603",
666,Cristalândia,Não,"1706100",
667,Belém,Não,"2501906",
668,Gaurama,Não,"4308706",
669,Horizontina,Não,"4309605",
670,Erechim,Não,"4307005",
671,Vargem,Não,"4219150",
672,Maximiliano de Almeida,Não,"4312203",
673,Novo Machado,Não,"4313425",
674,Frederico Westphalen,Não,"4308508",
675,Planalto,Não,"4314704",
676,Cachoeira do Arari,Não,"1502004",
677,Anajás,Não,"1500701",
